Comunidad;Latitud;Longitud
Andalucía;37,38264;-5,996295
Aragón;40,34411;-1,10691
Asturias;43,36026;-5,844759
Canarias;28,46981;-16,25486
Cantabria;43,46096;-3,807934
Castilla-La Mancha;39,85678;-4,024476
Castilla y León;41,65295;-4,728388
Cataluña;41,38792;2,169919
Ceuta;35,88829;-5,316195
Melilla;35,29234;-2,938794
Extremadura;38,91586;-6,345606
Galicia;42,88045;-8,546304
Baleares;39,56951;2,649966
La Rioja;42,46577;-2,449995
Madrid;40,41669;-3,700346
Murcia;37,98344;-1,12989
Navarra;42,81721;-1,646767
País Vasco;42,84641;-2,667893
C. Valenciana;39,47024;-0,3768049
